,hl,hr,thetal_radian,thetar_radian,thetal_degree,thetar_degree,center_a,center_b,time
125,-0.0000992692,0.0000066211,1.0328122000,1.6717278000,59.17578008962148,95.78294743469019,0.0003995367838158718,-0.0004629643861636941,0.0125000000
126,-0.0000995330,0.0000069679,1.0321305000,1.6744186000,59.136721556727416,95.93711891820399,0.0004020360760076496,-0.0004657635215041772,0.0126000000
127,-0.0000997943,0.0000073106,1.0314487000,1.6771714000,59.0976572942554,96.0948427400476,0.0004046191914578286,-0.0004686960763469911,0.0127000000
128,-0.0001000531,0.0000076490,1.0300851000,1.6791280000,59.01952876931136,96.2069476622429,0.0004063142341042829,-0.0004690938178049947,0.0128000000
129,-0.0001003068,0.0000079845,1.0294034000,1.6817596000,58.98047023641729,96.35772723560952,0.00040881656881493764,-0.00047187550505625427,0.0129000000
130,-0.0001005580,0.0000083159,1.0287216000,1.6843306000,58.941405973945265,96.50503468473765,0.0004112823986010263,-0.00047459005636999753,0.0130000000
131,-0.0001008067,0.0000086433,1.0280398000,1.6869024000,58.90234171147325,96.6523879704894,0.0004137715366800179,-0.000477337002515346,0.0131000000
132,-0.0001010529,0.0000089668,1.0273581000,1.6893524000,58.86328317857918,96.79276263029645,0.000416160517279057,-0.0004799118790948815,0.0132000000
133,-0.0001012966,0.0000092866,1.0266763000,1.6918031000,58.824218916107164,96.93317739714917,0.0004185707741940541,-0.00048251567706498793,0.0133000000
134,-0.0001015377,0.0000096026,1.0259945000,1.6942545000,58.78515465363514,97.07363227104753,0.0004210025197950603,-0.00048514887184909815,0.0134000000
135,-0.0001017763,0.0000099149,1.0253128000,1.6966452000,58.74609612074107,97.21060929112946,0.00042339224126018764,-0.0004877067397548475,0.0135000000
136,-0.0001020125,0.0000102235,1.0246310000,1.6990366000,58.707031858269055,97.34762641825704,0.0004258026895499186,-0.0004902925539061354,0.0136000000
137,-0.0001022461,0.0000105284,1.0239492000,1.7012446000,58.66796759579703,97.47413549942193,0.00042803922186277084,-0.0004925866173351832,0.0137000000
138,-0.0001024771,0.0000108300,1.0232675000,1.7035761000,58.62890906290296,97.60772060935669,0.0004304244954812215,-0.0004951192323666019,0.0138000000
139,-0.0001027057,0.0000111280,1.0225857000,1.7057853000,58.589844800430946,97.73429844545699,0.0004326973556517957,-0.0004974616195478201,0.0139000000
140,-0.0001029318,0.0000114226,1.0219039000,1.7079952000,58.55078053795893,97.86091638860294,0.0004349881626995699,-0.0004998277663729285,0.0140000000
141,-0.0001031554,0.0000117138,1.0212221000,1.7102058000,58.511716275486904,97.98757443879457,0.00043729707597992435,-0.0005022178273188316,0.0141000000
142,-0.0001033764,0.0000120017,1.0205404000,1.7122941000,58.47265774259284,98.10722521515174,0.00043948829200899704,-0.0005044103827954235,0.0142000000
143,-0.0001035950,0.0000122864,1.0198586000,1.7143829000,58.43359348012082,98.22690463939865,0.000441695408447253,-0.0005066233659854398,0.0143000000
144,-0.0001038110,0.0000125679,1.0191768000,1.7164724000,58.3945292176488,98.34662417069124,0.000443918766213477,-0.000508857399890294,0.0144000000
145,-0.0001040245,0.0000128461,1.0184951000,1.7184394000,58.35547068475473,98.45932496899349,0.00044601896332977805,-0.000510886452546987,0.0145000000
146,-0.0001042356,0.0000131214,1.0178133000,1.7205301000,58.31640642228271,98.57911325522147,0.00044827390341491044,-0.0005131609945396373,0.0146000000
147,-0.0001044441,0.0000133935,1.0171315000,1.7224983000,58.2773421598107,98.69188280845913,0.0004504036425601339,-0.0005152274996086495,0.0147000000
148,-0.0001046501,0.0000136627,1.0164498000,1.7243438000,58.23828362691662,98.79762216955052,0.0004524048798040093,-0.0005170814521344245,0.0148000000
149,-0.0001048536,0.0000139289,1.0161089000,1.7265604000,58.21875149568062,98.92462399441922,0.00045496892347402933,-0.0005203973617950418,0.0149000000
150,-0.0001050559,0.0000141918,1.0154271000,1.7285303000,58.17968723320859,99.03749095048205,0.00045714573622944145,-0.0005225254768150623,0.0150000000
151,-0.0001052557,0.0000144518,1.0147453000,1.7302543000,58.14062297073657,99.13626887436259,0.0004590443267865411,-0.00052420058838735,0.0151000000
152,-0.0001054530,0.0000147090,1.0140636000,1.7321020000,58.10156443784251,99.24213428616892,0.00046110087097460764,-0.0005261256161917687,0.0152000000
153,-0.0001056477,0.0000149635,1.0137227000,1.7341978000,58.08203230660649,99.36221478087243,0.0004635953163886051,-0.0005293131652620815,0.0153000000
154,-0.0001058413,0.0000152148,1.0130409000,1.7359233000,58.04296804413448,99.46107864842226,0.0004655319272947968,-0.0005310367460812622,0.0154000000
155,-0.0001060323,0.0000154634,1.0123591000,1.7376493000,58.003903781662466,99.55997116386183,0.0004674792868857545,-0.0005327732810150078,0.0155000000
156,-0.0001062209,0.0000157095,1.0120183000,1.7397470000,57.9843773800044,99.68016052054642,0.00047002919961741023,-0.0005360382662892795,0.0156000000
157,-0.0001064081,0.0000159523,1.0113365000,1.7413506000,57.945313117532386,99.77204003257361,0.00047185010355448227,-0.0005375643773460544,0.0157000000
